"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P6946" 1.57782876 -0.252440786666667 18.6715863987704 5.74975352144898e-07 4.27240508723197e-05 6.92704521103554
"A_06_P3381" -1.23047748 0.12218276 -18.6120015197215 5.87048362043884e-07 4.3113923891502e-05 6.90443204038678
"A_06_P5688" 2.33636187666667 -0.385630461666667 18.5155491017304 6.07214068035924e-07 4.40730581845774e-05 6.86766320747345
"A_06_P3699" -1.41224370333333 0.499217281666667 -18.4836197576793 6.14064141900382e-07 4.40730581845774e-05 6.855446413976
"A_06_P3511" 2.64124455666667 -0.548937321666667 18.4193371298952 6.28126288971661e-07 4.45757937207305e-05 6.83078238680523
"A_06_P5863" 1.06982706 -0.139082736666667 18.3711021170749 6.38921084650561e-07 4.48380618961438e-05 6.81221536591394
"A_06_P2817" -1.20097824933333 -0.498844608666667 -18.3219999553982 6.50129412289284e-07 4.51232677804299e-05 6.79326129434781
"A_06_P4863" -0.933839786666667 0.344692226666667 -18.0929179545225 7.05498570857362e-07 4.84340105819033e-05 6.70411482188665
"A_06_P1722" 1.60098613333333 -0.142213033333333 18.0549665243795 7.15185301367899e-07 4.85710791767704e-05 6.68923079447748
"A_06_P6178" 1.14837105333333 -0.218805786666667 17.9168365086613 7.51754599476491e-07 5.04080074509016e-05 6.63477748772013
"A_06_P1144" 1.00388941333333 -0.25559664 17.89330912612 7.58195172234904e-07 5.04080074509016e-05 6.62545839904577
"A_06_P3370" 0.934210766666667 -0.04193163 17.5615141447069 8.56122178002476e-07 5.63257049610796e-05 6.49264355321569
"A_06_P1720" 1.50529861 -0.221177735 17.4686135431652 8.86092055514749e-07 5.70172228072279e-05 6.45498306582773
"A_06_P6049" 1.33790207 -0.178002365 17.4222081301696 9.01512690203402e-07 5.70172228072279e-05 6.43609224132249
"A_06_P2203" 1.02824845 -0.147108391666667 17.4071916301124 9.06568545655945e-07 5.70172228072279e-05 6.42996798964231
"A_06_P4731" -1.87330847666667 0.913588195 -17.4029660076956 9.07997121636793e-07 5.70172228072279e-05 6.42824363527972
"A_06_P3415" 1.20697659 -0.228793151666667 17.3918426330057 9.11770029057951e-07 5.70172228072279e-05 6.42370240902416
"A_06_P5438" -1.16952673 0.329780735 -17.2834793096856 9.49483053004623e-07 5.87934800272274e-05 6.37930219050933
"A_06_P6599" -2.31607406333333 0.543704668333333 -17.1485396197164 9.98975895941643e-07 6.12575898909458e-05 6.32360383231696
