"ID" "Gene"
"A_06_P7053" "YPR008W"
"A_06_P4480" "YKL070W"
"A_06_P5532" "YMR103C"
"A_06_P4476" "YKL066W"
"A_06_P2460" "YDR467C"
"A_06_P6646" "YOR285W"
"A_06_P6386" "YOR024W"
"A_06_P6509" "YOR147W"
"A_06_P4343" "YJR100C"
"A_06_P1278" "YBR031W"
"A_06_P3811" "YIL012W"
"A_06_P6942" "YPL183C"
"A_06_P3144" "YGL189C"
"A_06_P3279" "YGR059W"
"A_06_P6598" "YOR236W"
"A_06_P4136" "YJL116C"
"A_06_P3178" "YGL223C"
"A_06_P3197" "YGL241W"
"A_06_P6292" "YOL099C"
"A_06_P6145" "YNR033W"
"A_06_P4827" "YLR015W"
"A_06_P6088" "YNL316C"
"A_06_P6652" "YOR291W"
"A_06_P1174" "YBL044W"
"A_06_P6424" "YOR062C"
"A_06_P7249" "YPR201W"
"A_06_P6631" "YOR270C"
"A_06_P7226" "YPR178W"
"A_06_P4861" "YLR049C"
"A_06_P4535" "YKL124W"
"A_06_P1905" "YDL171C"
"A_06_P1671" "YCR045C"
"A_06_P6987" "YPL227C"
"A_06_P2930" "YFR032C-A"
"A_06_P3293" "YGR073C"
"A_06_P4007" "YIR030C"
"A_06_P4372" "YJR129C"
"A_06_P2790" "YER157W"
"A_06_P1959" "YDL224C"
"A_06_P2642" "YER019C-A"
"A_06_P2329" "YDR338C"
"A_06_P7246" "YPR198W"
"A_06_P7239" "YPR191W"
"A_06_P6577" "YOR215C"
"A_06_P6449" "YOR087W"
"A_06_P2169" "YDR180W"
"A_06_P6451" "YOR089C"
"A_06_P1092" "YAL066W"
"A_06_P4951" "YLR138W"
"A_06_P2258" "YDR269C"
"A_06_P6258" "YOL066C"
"A_06_P4986" "YLR172C"
"A_06_P1404" "YBR152W"
"A_06_P6192" "YOL002C"
"A_06_P2002" "YDR017C"
"A_06_P1202" "YBL071C"
"A_06_P2159" "YDR171W"
"A_06_P1482" "YBR229C"
"A_06_P1430" "YBR177C"
"A_06_P1179" "YBL049W"
"A_06_P4910" "YLR098C"
"A_06_P3693" "YHR118C"
