"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P4003" -2.34309026666667 0.0119521666666667 -32.2161340729494 7.57707952810110e-09 1.22709831537145e-06 11.3709961689627
"A_06_P5903" -2.62599566666667 0.0191561333333333 -31.932245934002 8.05655831269971e-09 1.24501820282375e-06 11.309643977313
"A_06_P3514" 7.3882028 -0.177953166666667 31.7243928093385 8.42963804590877e-09 1.24501820282375e-06 11.2642960151568
"A_06_P3252" 2.8568636 0.0462006 31.6666463949647 8.53676533859552e-09 1.24501820282375e-06 11.251632386555
"A_06_P5091" -2.40311623333333 -0.0112926166666667 -31.5133107518544 8.82885419397529e-09 1.24501820282375e-06 11.2178681916795
"A_06_P3672" 2.80756793333333 -0.00569963333333334 31.4531682209099 8.94652475103053e-09 1.24501820282375e-06 11.2045698502449
"A_06_P5846" -2.4199076 -0.0384055666666667 -31.3531415784877 9.14622044657648e-09 1.24501820282375e-06 11.1823834275822
"A_06_P1195" 3.02310113333333 0.0433465666666667 31.2237819095003 9.41207423484525e-09 1.24501820282375e-06 11.1535619702514
"A_06_P3207" -2.61624573333333 -0.00429636666666666 -31.1741838606157 9.5163390083595e-09 1.24501820282375e-06 11.1424727319313
"A_06_P3625" -2.73904263333333 -0.0466969833333333 -31.104054454037 9.66602470658227e-09 1.24501820282375e-06 11.1267562144809
"A_06_P2270" -4.26715976666667 -0.03878305 -31.0213164857664 9.84609314324975e-09 1.24501820282375e-06 11.1081583164007
"A_06_P5419" -2.45512513333333 -0.00915193333333334 -30.9618261462361 9.97793557071958e-09 1.24501820282375e-06 11.0947486102915
"A_06_P1548" -4.29774086666667 -0.0548653666666667 -30.8603343889274 1.02075448960866e-08 1.24501820282375e-06 11.0717987508976
"A_06_P6077" 2.63884356666667 -0.02070205 30.7581773319701 1.04447756540326e-08 1.24501820282375e-06 11.0486054899788
"A_06_P5832" -2.44267813333333 -0.0347523666666667 -30.745237323315 1.04752722145008e-08 1.24501820282375e-06 11.0456609669093
"A_06_P3748" -2.07879446666667 -0.00899616666666669 -30.6316858679918 1.07472939969096e-08 1.24501820282375e-06 11.019757364628
"A_06_P5700" 2.60167913333333 -0.00661770000000002 30.4844960030596 1.1111993748433e-08 1.24501820282375e-06 10.9860061068433
"A_06_P1039" 2.20689166666667 -0.0301054333333333 30.386929738218 1.1361530267424e-08 1.24501820282375e-06 10.9635247022962
"A_06_P1749" 3.6399673 0.0468196833333333 30.3095584172674 1.15639728378277e-08 1.24501820282375e-06 10.9456344412632
"A_06_P1939" 6.30879463333333 -0.0702153833333333 30.2795031606803 1.16437215778118e-08 1.24501820282375e-06 10.9386699816702
"A_06_P5680" -2.38085813333333 0.00646703333333332 -30.2135715700408 1.1820875579409e-08 1.24501820282375e-06 10.9233628774091
"A_06_P7233" 2.17165913333333 0.0167263333333333 30.0557210176356 1.22576626693723e-08 1.24501820282375e-06 10.8865507968981
"A_06_P3703" -2.24277053333333 0.0382092666666667 -30.0041720262738 1.24042760585884e-08 1.24501820282375e-06 10.8744785920975
"A_06_P3895" -2.4590464 -0.0381163 -29.9862611481183 1.24556855948101e-08 1.24501820282375e-06 10.870278209343
"A_06_P4807" -2.42531066666667 0.0210949666666667 -29.8002540197383 1.30042226991409e-08 1.24501820282375e-06 10.8264772255891
"A_06_P4367" -2.37281606666667 0.0404993666666666 -29.7798919631877 1.30659291833181e-08 1.24501820282375e-06 10.82166240018
"A_06_P6971" -2.6752297 -0.0740264166666667 -29.7786084675517 1.30698299639831e-08 1.24501820282375e-06 10.8213587713802
"A_06_P1240" -2.3355862 -0.0328691666666667 -29.7372261296995 1.31963143706415e-08 1.24501820282375e-06 10.811560765844
"A_06_P5343" -2.5788466 0.0338683 -29.5820265473683 1.3683296172142e-08 1.24501820282375e-06 10.7746681240464
"A_06_P5410" 2.23119003333333 -0.00614421666666668 29.5575313409864 1.37620176157239e-08 1.24501820282375e-06 10.7688241295218
"A_06_P6655" -2.20941606666667 -0.0326859 -29.5482498441785 1.37919810798422e-08 1.24501820282375e-06 10.7666082602347
"A_06_P5729" -2.06831453333333 -0.00522073333333332 -29.5462361273236 1.37984917982366e-08 1.24501820282375e-06 10.7661273942995
"A_06_P1711" 2.72630466666667 0.0659597666666667 29.44816769173 1.41198558508663e-08 1.2560705570996e-06 10.742661483988
"A_06_P5635" 2.78911876666667 -0.00934201666666667 29.2856792839469 1.46713260629206e-08 1.2870013251862e-06 10.7035744749252
"A_06_P5417" -3.97089753333333 0.00579326666666661 -29.0769504247951 1.54162098152775e-08 1.33237483091769e-06 10.6529822949603
"A_06_P3290" 2.30489096666667 -0.00176524999999998 28.9818693340927 1.57697799523703e-08 1.33237483091769e-06 10.6297925326467
"A_06_P4078" 3.13744546666667 0.0295567666666667 28.9304410194406 1.59648776514903e-08 1.33237483091769e-06 10.6172116561394
"A_06_P3509" 3.90270453333333 -0.0604822 28.7749106500403 1.65718843626109e-08 1.33237483091769e-06 10.5790018789205
