"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"A_06_P5480" 3.19905663333333 -0.0258205833333333 35.8117954072591 2.8158189117657e-11 6.94384289104958e-10 16.6907386842864
"A_06_P3212" -4.60850593333333 -0.0380706666666667 -35.74550352652 2.86440026756235e-11 6.94384289104958e-10 16.6733940624474
"A_06_P5534" 4.48881016666667 -0.145717616666667 35.7213245860173 2.8823498793036e-11 6.94384289104958e-10 16.6670586537244
"A_06_P6463" -2.98562056666667 -0.0169092833333333 -35.5014203870049 3.05143769131596e-11 7.21991953748866e-10 16.6092113711614
"A_06_P6646" 2.92281726666667 -0.0431467666666666 35.4027721348051 3.13083353333644e-11 7.27781479240489e-10 16.5831272353584
"A_06_P3076" 4.03579423333333 -0.00807714999999998 35.2310659753916 3.27454092107754e-11 7.4802094020566e-10 16.5375257241034
"A_06_P4506" 3.73330913333333 -0.0371311333333333 35.166093816008 3.330810224312e-11 7.4802094020566e-10 16.5202039460312
"A_06_P5066" 5.15393286666667 -0.109694 35.0384304029299 3.44451769978524e-11 7.6066432536924e-10 16.4860613678673
"A_06_P3186" 4.0827693 -0.0701563499999999 34.9603467245558 3.51617948253456e-11 7.63760297435785e-10 16.4651081879292
"A_06_P5065" 4.68082316666667 -0.12582215 34.5904836366872 3.87881797164991e-11 8.22576286363357e-10 16.3651255766387
"A_06_P6200" -2.83779656666667 0.00417421666666666 -34.5594130945711 3.91111743704841e-11 8.22576286363357e-10 16.3566709309189
"A_06_P6469" -3.77263146666667 -0.00331789999999998 -34.2964224094339 4.19675090681264e-11 8.65747104256546e-10 16.2847591797825
"A_06_P6619" 2.80091126666667 0.043653 34.2521564862246 4.24706126616419e-11 8.65747104256546e-10 16.2725934202603
"A_06_P4892" 3.6618086 0.00252786666666667 33.947420326169 4.61207705151778e-11 9.12690061074425e-10 16.1883534192719
"A_06_P3815" -3.69931143333333 0.04491495 -33.9414396717198 4.61957982746265e-11 9.12690061074425e-10 16.1866915649341
"A_06_P2899" -3.41842156666667 0.0613707833333333 -33.89053145817 4.68399427570271e-11 9.12690061074425e-10 16.1725321443177
"A_06_P1525" -3.13096763333333 0.03461765 -33.7118601863208 4.91805959784957e-11 9.4413112391119e-10 16.1226455579967
"A_06_P1368" 3.98142566666667 -0.114830666666667 33.6474728567475 5.00555874529238e-11 9.4413112391119e-10 16.1045945453484
"A_06_P4016" 2.96039673333333 -0.00232840000000001 33.6086724678583 5.05911772058072e-11 9.4413112391119e-10 16.0936979387203
"A_06_P2022" -5.6728469 -0.0222261833333333 -33.2269666492956 5.62119965397867e-11 1.03445688076691e-09 15.9857359638281
"A_06_P7017" -2.7291665 -0.00845488333333337 -33.1299591370402 5.77483504194106e-11 1.04579712369359e-09 15.9580749187428
"A_06_P5707" -3.95907453333333 0.0090418333333333 -33.0892557305595 5.84067827572269e-11 1.04579712369359e-09 15.9464413912477
"A_06_P4962" 3.6600947 -0.0635147833333333 33.0197594883512 5.95502681131424e-11 1.05205473666552e-09 15.9265411833732
"A_06_P5604" 4.61488836666667 -0.158051083333333 32.953161319068 6.06693588208813e-11 1.05556448433825e-09 15.907426500688
"A_06_P6482" 3.70970063333333 -0.07750335 32.9137688881448 6.13422379577699e-11 1.05556448433825e-09 15.8960997854536
"A_06_P6882" 3.272632 -0.00754799999999996 32.6635173458581 6.58147506541455e-11 1.10401031173109e-09 15.8237854907863
"A_06_P5343" -2.69941616666667 0.0370024166666666 -32.6187838377928 6.66516476323921e-11 1.10401031173109e-09 15.8107933960198
"A_06_P5835" -3.3603878 0.0359942333333333 -32.6184877347958 6.66572263686695e-11 1.10401031173109e-09 15.8107073312172
"A_06_P1939" 4.09386346666667 0.0035970666666667 32.5522066675339 6.79191003471903e-11 1.11002342465266e-09 15.7914200754848
